External ID,Estado
__export__.hr_contract_197_a1257695,En proceso
__export__.hr_contract_198_6bdb7351,Cancelada
__export__.hr_contract_199_3ea00aca,En proceso
__export__.hr_contract_200_8266d1a1,En proceso
__export__.hr_contract_201_7dee11fb,En proceso
__export__.hr_contract_202_9b196584,En proceso
__export__.hr_contract_203_c35495fd,Cancelada
__export__.hr_contract_204_fd959b19,En proceso
__export__.hr_contract_205_9af90142,Cancelada
__export__.hr_contract_206_49318ea3,En proceso
__export__.hr_contract_207_db13bd48,En proceso
__export__.hr_contract_208_bff88385,En proceso
__export__.hr_contract_209_8ff44e4c,Cancelada
__export__.hr_contract_210_240c3598,En proceso
__export__.hr_contract_211_f59412b0,En proceso
__export__.hr_contract_212_c2614024,En proceso
__export__.hr_contract_213_4f68d55c,Cancelada
__export__.hr_contract_214_31c8f525,En proceso
__export__.hr_contract_215_a6b206de,En proceso
__export__.hr_contract_216_1f11a945,En proceso
__export__.hr_contract_217_bc1e92c0,Cancelada
__export__.hr_contract_218_3747a45e,En proceso
__export__.hr_contract_219_3214d6f5,En proceso
__export__.hr_contract_220_218411b6,En proceso
__export__.hr_contract_221_40c1aefd,En proceso
__export__.hr_contract_222_b8066ad2,En proceso
__export__.hr_contract_223_89646e3b,En proceso
__export__.hr_contract_224_7f6dd7f5,En proceso
__export__.hr_contract_225_a7c6a2f2,En proceso
__export__.hr_contract_226_ec21bd92,En proceso
__export__.hr_contract_227_43423314,En proceso
__export__.hr_contract_228_a9a3f673,En proceso
__export__.hr_contract_229_a2b0238d,En proceso
__export__.hr_contract_230_1007292a,En proceso
__export__.hr_contract_231_d782e2d8,En proceso
__export__.hr_contract_232_edf5e8dc,En proceso
__export__.hr_contract_233_727a20d3,Cancelada
__export__.hr_contract_234_5cdf403c,Cancelada
__export__.hr_contract_235_ea338a38,En proceso
__export__.hr_contract_236_45e319ed,En proceso
__export__.hr_contract_237_e21d7c7c,Cancelada
__export__.hr_contract_238_1fbbb59d,Cancelada
__export__.hr_contract_239_d37a0b81,En proceso
__export__.hr_contract_240_0cf1752b,En proceso
__export__.hr_contract_241_a28a0db8,En proceso
__export__.hr_contract_242_f816ca3c,En proceso
__export__.hr_contract_243_0a73209d,En proceso
__export__.hr_contract_244_a9c4b849,En proceso
__export__.hr_contract_245_5fdbf909,En proceso
__export__.hr_contract_246_1e57d132,En proceso
__export__.hr_contract_247_a0b43309,En proceso
__export__.hr_contract_248_adbfcfe6,En proceso
__export__.hr_contract_249_c36463f3,Cancelada
__export__.hr_contract_250_5183bc9a,En proceso
__export__.hr_contract_251_6aaa1a3e,En proceso
__export__.hr_contract_252_4167d1d9,En proceso
__export__.hr_contract_253_59d739ff,En proceso
__export__.hr_contract_254_d125248f,Cancelada
__export__.hr_contract_255_4d4c06df,En proceso
__export__.hr_contract_256_a9489411,Cancelada
__export__.hr_contract_257_624c7349,En proceso
__export__.hr_contract_258_b49ba2b3,En proceso
__export__.hr_contract_259_5b633c43,En proceso
__export__.hr_contract_260_6e0a0f2f,En proceso
__export__.hr_contract_261_3a622877,Cancelada
__export__.hr_contract_262_a643c74a,En proceso
__export__.hr_contract_263_fc6864a9,En proceso
__export__.hr_contract_264_fdab2a29,En proceso
__export__.hr_contract_265_c42e2a8d,Cancelada
__export__.hr_contract_266_4ce6df5c,En proceso
__export__.hr_contract_267_58093b42,En proceso
__export__.hr_contract_268_88a54856,Cancelada
__export__.hr_contract_269_b358fcde,En proceso
__export__.hr_contract_270_b8bf8cf8,En proceso
__export__.hr_contract_271_32ef0064,Cancelada
__export__.hr_contract_272_55ce46a5,En proceso
__export__.hr_contract_273_af975fe3,Cancelada
__export__.hr_contract_274_2c35f9c0,Cancelada
__export__.hr_contract_275_90529b3c,En proceso
__export__.hr_contract_276_c00d7d69,En proceso
__export__.hr_contract_277_81c44184,En proceso
__export__.hr_contract_278_90d6813a,En proceso
__export__.hr_contract_279_f2cf29c0,Cancelada
__export__.hr_contract_280_25b44e74,En proceso
__export__.hr_contract_281_1f8e6f9c,En proceso
__export__.hr_contract_282_5c10bd3b,En proceso
__export__.hr_contract_283_0904d1ba,En proceso
__export__.hr_contract_284_e6240d68,En proceso
__export__.hr_contract_285_c70a5bdd,En proceso
__export__.hr_contract_286_ca203700,En proceso
__export__.hr_contract_287_5ec1e15f,En proceso
__export__.hr_contract_288_b968e071,En proceso
__export__.hr_contract_289_87688502,En proceso
__export__.hr_contract_290_30c224f6,Cancelada
__export__.hr_contract_291_2a0d0e42,En proceso
__export__.hr_contract_292_48203f34,En proceso
__export__.hr_contract_428_0c15ad12,Cancelada
__export__.hr_contract_429_d18b9c59,En proceso
__export__.hr_contract_430_29e9a5a3,En proceso
__export__.hr_contract_431_c9b68fa8,En proceso
